epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_weighted_f1,val_auc
0,0.6700840295883583,0.905944539998707,0.7789473684210526,0.8396739130434783,0.7636065484902694,0.7861863147052865,0.9614975867562672
1,0.38421715828346265,0.7277613156720212,0.8421052631578947,0.8935688405797102,0.8471566154551708,0.8451234024064977,0.9770056239610692
2,0.33228198816645343,0.6585063052804847,0.8631578947368421,0.9039855072463768,0.8787653473652101,0.8633521575616002,0.9831641138650532
3,0.2737153904419749,0.6344582375727201,0.9052631578947369,0.941802536231884,0.9117826617826618,0.9060857271383587,0.9843890111681748
4,0.2760024643568548,0.6234627541742827,0.8842105263157894,0.9144021739130435,0.8932748538011696,0.8837180670975685,0.9847348045835238
5,0.2731296197055705,0.6272753809627734,0.8842105263157894,0.9257246376811594,0.8960840746555032,0.885099194873631,0.9816946026100425
6,0.2556908242166575,0.644800791614934,0.8631578947368421,0.8722826086956521,0.8722826086956521,0.8631578947368421,0.9807427292559393
7,0.2485553034572918,0.6539650772747241,0.8947368421052632,0.9139492753623188,0.9074583321700773,0.8928157799227401,0.9762142975498067
8,0.23704271275421668,0.6678384686771192,0.8842105263157894,0.8974184782608696,0.9056991064960155,0.8800162686358494,0.9797052382496696
9,0.23776854005657697,0.6585836799521195,0.8947368421052632,0.9139492753623188,0.8873674010607915,0.8939251433356955,0.9799841878706037
10,0.2541797367396787,0.6389556646347045,0.8947368421052632,0.9139492753623188,0.8897113918817663,0.8937082260725063,0.9826785410486246
11,0.2418702413372001,0.6207847363070438,0.8947368421052632,0.9139492753623188,0.8967007645382136,0.8930899934243826,0.9849944265455923
12,0.24072160565152784,0.6072925401361365,0.9052631578947369,0.9044384057971014,0.9044384057971014,0.9052631578947369,0.9848033097812794
13,0.2358432912088141,0.6043249792174289,0.9263157894736842,0.9408967391304348,0.9225063131313131,0.9260499734183945,0.9874211276453972
14,0.23246541261520726,0.5950191064884788,0.9263157894736842,0.9465579710144927,0.9342643693633059,0.926237575362555,0.9886497354159799
15,0.22228310948968086,0.6349592227684824,0.9473684210526315,0.9513134057971014,0.9583039699318769,0.9463298839063833,0.9843161309416214
16,0.2243807022751215,0.6649758985168055,0.8842105263157894,0.8713768115942029,0.8941343042071197,0.8798995060466702,0.9803187391233461
17,0.22282175150715375,0.6544316749823721,0.8736842105263158,0.8661684782608696,0.8868483978957438,0.8699881698507388,0.9806415497924795
18,0.22062697763034972,0.638559131245864,0.9052631578947369,0.9078351449275363,0.9204630321135175,0.8999803466844858,0.9845950251824442
19,0.2201435303322657,0.622557636938597,0.9157894736842105,0.9243659420289855,0.9226111908177905,0.9132903420675074,0.9873638092301367
20,0.23918501870994519,0.5731363114557768,0.9473684210526315,0.9569746376811594,0.9496802469816417,0.946992377575506,0.9906160062699148
21,0.23155068045679483,0.6163079594310962,0.9052631578947369,0.8931159420289855,0.9011309523809524,0.9029373433583959,0.9869950330685722
22,0.2203963357826759,0.6248029752781517,0.9052631578947369,0.9191576086956521,0.9149477973007385,0.9029981370538646,0.9876352825360369
23,0.22345857659062207,0.6162873867310976,0.9157894736842105,0.9243659420289855,0.9226111908177905,0.9132903420675074,0.9855276262577931
24,0.22463495981799841,0.6223814286683735,0.8736842105263158,0.8922101449275363,0.8882209469153515,0.8694597900777769,0.982674775201052
25,0.2120151667264534,0.5986022955492923,0.9052631578947369,0.9248188405797102,0.9166436959038535,0.9041472140575266,0.9858295586249428
26,0.2215048210412302,0.6041301159482253,0.8947368421052632,0.9082880434782609,0.9054160688665711,0.8913750660726422,0.9849564357891976
27,0.2083587727936444,0.6379899467292585,0.8947368421052632,0.9026268115942029,0.9030920060331826,0.8896403905691832,0.9849601462566588
28,0.23395781970724444,0.5989165964879488,0.8947368421052632,0.9196105072463768,0.9092524509803921,0.8939938080495357,0.9850308112787578
29,0.22982050487973832,0.6234415327247821,0.9052631578947369,0.9248188405797102,0.9166436959038535,0.9041472140575266,0.985598291279892
30,0.2178385726641269,0.6428608298301697,0.9052631578947369,0.9134963768115942,0.9130168899242865,0.9016019372835117,0.984390561811293
31,0.21624100611736644,0.5973381180512277,0.9052631578947369,0.9248188405797102,0.9166436959038535,0.9041472140575266,0.985357387795464
32,0.22651453831947932,0.6306247403747157,0.8842105263157894,0.9030797101449275,0.8979925303454714,0.8812619784756007,0.9818835595500123
33,0.22330893650365516,0.6540473624279625,0.8842105263157894,0.8917572463768116,0.8928056148366348,0.8773743851950054,0.9826175121659029
34,0.21367110488971988,0.6324670402627243,0.8947368421052632,0.9026268115942029,0.9030920060331826,0.8896403905691832,0.9851453927291673
35,0.20764856776971927,0.6534865843622308,0.8842105263157894,0.8917572463768116,0.8928056148366348,0.8773743851950054,0.9845377621472952
36,0.2156194624696807,0.6275887661858609,0.8947368421052632,0.9026268115942029,0.9030920060331826,0.8896403905691832,0.9843733939767705
