epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_auc
0,0.6413775604649968,0.37165294472987837,0.7980769230769231,0.8571428571428571,0.9738137819133678
1,0.24051312977178835,0.2830114937745608,0.8461538461538461,0.8869047619047619,0.9810267857142858
2,0.12709830653282903,0.24853942944453314,0.8461538461538461,0.9136904761904762,0.9862552890131957
3,0.11149572713685577,0.2500604184774252,0.875,0.9077380952380952,0.9859919589070568
4,0.09395932170296513,0.2506356193469121,0.8942307692307693,0.9017857142857143,0.9863253236158921
5,0.07970636689605963,0.2440342169541579,0.875,0.8854166666666666,0.9831933761833047
6,0.08810747275073326,0.20930240131341493,0.8942307692307693,0.9017857142857143,0.9874570827954676
7,0.0499331674036729,0.23858987597318795,0.9038461538461539,0.90625,0.98760051366179
8,0.040143390478768796,0.18718500206103691,0.875,0.9196428571428571,0.987766915877797
9,0.03295750921345099,0.19706119711582476,0.9038461538461539,0.9330357142857143,0.9879142686818704
10,0.041460299755367615,0.2614006858605605,0.875,0.8735119047619048,0.9871780649383248
11,0.02453507231982378,0.26133410174113053,0.9038461538461539,0.8720238095238095,0.9866895035499139
12,0.02540863760198459,0.23545147134707525,0.8942307692307693,0.9017857142857143,0.9882089742900171
13,0.046961964957033295,0.2749749215749594,0.9038461538461539,0.8988095238095238,0.9831547170826161
14,0.05994959291529128,0.3140545441554143,0.8461538461538461,0.8377976190476191,0.9762515463640276
15,0.04220138747454259,0.3002937069306007,0.9038461538461539,0.8571428571428572,0.983344650925129
16,0.02824208828684036,0.27793389788040745,0.9038461538461539,0.8720238095238095,0.9843021640131956
17,0.024374161676693987,0.34265487927656907,0.9038461538461539,0.8720238095238095,0.9842752707257602
18,0.07578425972834853,0.30675262900499195,0.8942307692307693,0.8675595238095238,0.9820039084911073
19,0.09796440248403213,0.25915061739774853,0.8942307692307693,0.90625,0.978619276211991
20,0.03195092480812164,0.2464266190162072,0.9038461538461539,0.8988095238095238,0.9827709274598394
21,0.03944937079664199,0.2772712145860379,0.8653846153846154,0.8958333333333334,0.9816935151319565
22,0.02722938353442804,0.21506533599816835,0.8942307692307693,0.8824404761904762,0.9864648325444636
23,0.07414183757638418,0.20370941437207735,0.8942307692307693,0.9211309523809523,0.9861544391853126
24,0.04256318319085963,0.3727876223050631,0.8653846153846154,0.8616071428571428,0.9781167079030407
25,0.07329804189458686,0.49579813847175014,0.8942307692307693,0.8526785714285714,0.9710818721313826
26,0.0712722279442966,0.4370660988184122,0.8365384615384616,0.8333333333333333,0.9779962483864029
27,0.04229044223486879,0.35616199099100554,0.8846153846153846,0.8705357142857143,0.9818139746485943
