epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_auc
0,0.6175169348004613,0.45481236622883725,0.8173076923076923,0.8020833333333334,0.9684530532845669
1,0.23281538144661962,0.39052331906098586,0.8653846153846154,0.8735119047619048,0.9705436816649615
2,0.13489099827860987,0.3708299111861449,0.8846153846153846,0.8898809523809523,0.9704469161336856
3,0.10644238543659983,0.42304070867024934,0.8365384615384616,0.8601190476190477,0.956494504804934
4,0.09044705995379668,0.4269096496013495,0.8942307692307693,0.8869047619047619,0.9636341123422261
5,0.08916257829221773,0.45909474790096283,0.8557692307692307,0.8690476190476191,0.9614792876864602
6,0.0821252153872589,0.38783610325593215,0.9038461538461539,0.8913690476190477,0.9638436558734939
7,0.06807897488276164,0.5319558955155886,0.8653846153846154,0.8883928571428571,0.950857559703098
8,0.05525060279768855,0.39516272109288436,0.8846153846153846,0.8898809523809523,0.9643019623135399
9,0.03941928137765848,0.4241285427258565,0.8942307692307693,0.8943452380952381,0.9580655210126219
10,0.029379243847859518,0.4236525423251666,0.8846153846153846,0.8898809523809523,0.970625806798623
11,0.035478798968532746,0.49080922397283405,0.8846153846153846,0.8705357142857143,0.9565813477122778
12,0.04379478143249931,0.39649569300504833,0.9038461538461539,0.8988095238095238,0.9662125062751004
13,0.07287287548309017,0.40856359153985977,0.9038461538461539,0.8988095238095238,0.9664679925057372
14,0.07020936655314593,0.40743842950234044,0.8846153846153846,0.8824404761904762,0.9682115739744693
15,0.04037362066505915,0.5117596766123405,0.8846153846153846,0.8824404761904762,0.9578447719449226
16,0.047303669457296034,0.5452998039814142,0.8846153846153846,0.8630952380952381,0.9583292490367262
17,0.03491297303704521,0.49892559762184435,0.8942307692307693,0.8943452380952381,0.9605072074010327
18,0.029251319604392832,0.38854435544747573,0.9134615384615384,0.8958333333333333,0.9774897581397017
19,0.08990716499809438,0.43869465532211155,0.9134615384615384,0.9107142857142857,0.9639607537292025
20,0.048338106278165406,0.5909740282939031,0.875,0.8511904761904762,0.9499812867541595
21,0.04500270392322911,0.47098244497409236,0.8942307692307693,0.875,0.9619112611158922
22,0.021190917050396954,0.4853191559131329,0.9038461538461539,0.8869047619047619,0.9657054557515777
23,0.03394478339848766,0.48177390173077583,0.9134615384615384,0.8839285714285714,0.9646196392713712
24,0.018135146802044255,0.5113844137925369,0.9038461538461539,0.8869047619047619,0.9594466033777969
25,0.02335723520678289,0.503150472847315,0.9038461538461539,0.8720238095238095,0.9645115058448078
26,0.02619410621162544,0.6520513250277593,0.8942307692307693,0.8675595238095238,0.9524655541810096
27,0.05300615469757089,0.5437366887927055,0.9230769230769231,0.8809523809523809,0.959132288080895
28,0.02240767956487701,0.5062270582868502,0.9326923076923077,0.9196428571428571,0.9595429709911073
29,0.02132397535587511,0.5118441770856197,0.8942307692307693,0.9017857142857143,0.9598841795754447
30,0.01277115092731861,0.5140568126852696,0.9134615384615384,0.9181547619047619,0.9600825175702812
31,0.01135459082065375,0.50587253845655,0.8942307692307693,0.8943452380952381,0.9614540752294893
32,0.015231796151990674,0.5786202716139647,0.9038461538461539,0.8794642857142857,0.9574273657128514
33,0.046761763387825894,0.8705923035740852,0.9038461538461539,0.8645833333333333,0.947074570603844
